,day,n,ML_generic,Lower_CI_generic,Upper_CI_generic,ML_resistant,Lower_CI_res,Upper_CI_res,set
11,0,12,1.61009903,0.503353907,3.78,0.65,-0.998278891,3.08,empty_pens
12,14,12,1.386122074,-0.53444,5.48,0.101009912,-1.748301808,4.32,empty_pens
13,36,12,1.762933427,-0.985981293,2.6,0.65,-0.647638151,2.6,empty_pens
14,84,12,2.057038976,-0.592616161,4.94,0.65,-0.701121856,0.65,empty_pens
15,126,12,2.3,-0.690661366,3.56,-0.169380364,-0.919912412,3.79,empty_pens
